,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
2,1,8.23901119973,-21.0224674737,23-24,0.1,0.00500947702676,galaxies
3,1,8.23901119973,-21.0224674737,23-24,0.1,0.00500947702676,galaxies
4,1,8.22394863863,-21.0126824008,23-24,0.1,0.000317836151225,galaxies
5,1,8.22394863863,-21.0126824008,23-24,0.1,0.000317836151225,galaxies
8,1,8.22871147422,-21.0083763464,22-23,0.1,0.00949303992093,galaxies
9,1,8.22871147422,-21.0083763464,22-23,0.1,0.00949303992093,galaxies
10,1,8.21973255862,-21.0083266682,26-27,0.1,0.00183395994827,galaxies
11,1,8.21973255862,-21.0083266682,26-27,0.1,0.00183395994827,galaxies
18,1,8.25860232192,-21.0048759537,25-26,0.1,0.000141236756463,galaxies
19,1,8.25860232192,-21.0048759537,25-26,0.1,0.000141236756463,galaxies
20,1,8.27807034,-21.0043591857,22-23,0.1,0.000338510290021,galaxies
21,1,8.27807034,-21.0043591857,22-23,0.1,0.000338510290021,galaxies
24,1,8.26912181905,-21.003423722,24-25,0.1,0.000253725796938,galaxies
25,1,8.26912181905,-21.003423722,24-25,0.1,0.000253725796938,galaxies
36,1,8.28674281484,-20.9971015519,23-24,0.1,0.0523016005754,galaxies
37,1,8.28674281484,-20.9971015519,23-24,0.1,0.0523016005754,galaxies
48,1,8.31521411814,-20.9856474526,24-25,0.1,0.000229599681916,galaxies
49,1,8.31521411814,-20.9856474526,24-25,0.1,0.000229599681916,galaxies
50,1,8.29848781396,-20.9840460361,24-25,0.1,0.0336007364094,galaxies
51,1,8.29848781396,-20.9840460361,24-25,0.1,0.0336007364094,galaxies
54,1,8.20071307999,-21.7802935549,24-25,0.1,0.000163298085681,galaxies
55,1,8.20071307999,-21.7802935549,24-25,0.1,0.000163298085681,galaxies
62,1,8.20995018374,-21.7733380177,24-25,0.1,0.0158687587827,galaxies
63,1,8.20995018374,-21.7733380177,24-25,0.1,0.0158687587827,galaxies
64,1,8.21127295108,-21.7730172339,22-23,0.1,0.0162546057254,galaxies
65,1,8.21127295108,-21.7730172339,22-23,0.1,0.0162546057254,galaxies
68,1,8.21799461242,-21.7677691816,24-25,0.1,0.000286201946437,galaxies
69,1,8.21799461242,-21.7677691816,24-25,0.1,0.000286201946437,galaxies
70,1,8.2092902128,-21.7671989733,24-25,0.1,0.000148824517964,galaxies
71,1,8.2092902128,-21.7671989733,24-25,0.1,0.000148824517964,galaxies
72,1,8.2121172469,-21.7670339726,24-25,0.1,0.000157867645612,galaxies
73,1,8.2121172469,-21.7670339726,24-25,0.1,0.000157867645612,galaxies
74,1,8.22689689821,-21.766933879,23-24,0.1,0.000486491509946,galaxies
75,1,8.22689689821,-21.766933879,23-24,0.1,0.000486491509946,galaxies
76,1,8.20534850359,-21.7668596497,25-26,0.1,0.0052118790336,galaxies
77,1,8.20534850359,-21.7668596497,25-26,0.1,0.0052118790336,galaxies
80,1,8.24077313772,-20.9863031772,21-22,0.1,0.000337114266586,galaxies
81,1,8.24077313772,-20.9863031772,21-22,0.1,0.000337114266586,galaxies
82,1,8.22055908904,-21.7637529515,24-25,0.1,0.000451619038358,galaxies
83,1,8.22055908904,-21.7637529515,24-25,0.1,0.000451619038358,galaxies
90,1,8.22512474579,-21.7625442202,23-24,0.1,0.000310332339723,galaxies
91,1,8.22512474579,-21.7625442202,23-24,0.1,0.000310332339723,galaxies
94,1,8.18384842569,-21.7617428425,23-24,0.1,0.000337549165124,galaxies
95,1,8.18384842569,-21.7617428425,23-24,0.1,0.000337549165124,galaxies
98,1,8.23357365018,-21.7567323915,21-22,0.1,0.0278783738613,galaxies
99,1,8.23357365018,-21.7567323915,21-22,0.1,0.0278783738613,galaxies
100,1,8.20185011644,-21.7561486669,22-23,0.1,0.0131000978872,galaxies
101,1,8.20185011644,-21.7561486669,22-23,0.1,0.0131000978872,galaxies
104,1,8.22178852434,-21.7549524957,25-26,0.1,0.000103758531623,galaxies
105,1,8.22178852434,-21.7549524957,25-26,0.1,0.000103758531623,galaxies
108,1,8.24814293202,-21.7529160139,23-24,0.1,0.00204364513047,galaxies
109,1,8.24814293202,-21.7529160139,23-24,0.1,0.00204364513047,galaxies
110,1,8.29898135418,-20.9721456796,20-21,0.1,0.00107935338747,galaxies
111,1,8.29898135418,-20.9721456796,20-21,0.1,0.00107935338747,galaxies
118,1,8.26188755336,-21.7494858768,23-24,0.1,0.000239564251387,galaxies
119,1,8.26188755336,-21.7494858768,23-24,0.1,0.000239564251387,galaxies
122,1,8.2647280357,-21.7477439595,22-23,0.1,0.00032417246257,galaxies
123,1,8.2647280357,-21.7477439595,22-23,0.1,0.00032417246257,galaxies
124,1,8.1797302822,-21.7466532705,23-24,0.1,0.000433849665569,galaxies
125,1,8.1797302822,-21.7466532705,23-24,0.1,0.000433849665569,galaxies
130,1,8.12521249561,-21.7206723108,22-23,0.1,0.00383115257137,galaxies
131,1,8.12521249561,-21.7206723108,22-23,0.1,0.00383115257137,galaxies
132,1,8.22839917125,-21.7430288434,25-26,0.1,0.000237852567807,galaxies
133,1,8.22839917125,-21.7430288434,25-26,0.1,0.000237852567807,galaxies
134,1,8.28191008473,-21.7426805797,26-27,0.1,0.320810467005,galaxies
135,1,8.28191008473,-21.7426805797,26-27,0.1,0.320810467005,galaxies
