,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
1,1,8.23901119973,-21.0224674737,23-24,0.1,0.00500947702676,galaxies
2,1,8.22394863863,-21.0126824008,23-24,0.1,0.000317836151225,galaxies
4,1,8.22871147422,-21.0083763464,22-23,0.1,0.00949303992093,galaxies
5,1,8.21973255862,-21.0083266682,26-27,0.1,0.00183395994827,galaxies
9,1,8.25860232192,-21.0048759537,25-26,0.1,0.000141236756463,galaxies
10,1,8.27807034,-21.0043591857,22-23,0.1,0.000338510290021,galaxies
12,1,8.26912181905,-21.003423722,24-25,0.1,0.000253725796938,galaxies
18,1,8.28674281484,-20.9971015519,23-24,0.1,0.0523016005754,galaxies
24,1,8.31521411814,-20.9856474526,24-25,0.1,0.000229599681916,galaxies
25,1,8.29848781396,-20.9840460361,24-25,0.1,0.0336007364094,galaxies
27,1,8.20071307999,-21.7802935549,24-25,0.1,0.000163298085681,galaxies
31,1,8.20995018374,-21.7733380177,24-25,0.1,0.0158687587827,galaxies
32,1,8.21127295108,-21.7730172339,22-23,0.1,0.0162546057254,galaxies
34,1,8.21799461242,-21.7677691816,24-25,0.1,0.000286201946437,galaxies
35,1,8.2092902128,-21.7671989733,24-25,0.1,0.000148824517964,galaxies
36,1,8.2121172469,-21.7670339726,24-25,0.1,0.000157867645612,galaxies
37,1,8.22689689821,-21.766933879,23-24,0.1,0.000486491509946,galaxies
38,1,8.20534850359,-21.7668596497,25-26,0.1,0.0052118790336,galaxies
40,1,8.24077313772,-20.9863031772,21-22,0.1,0.000337114266586,galaxies
41,1,8.22055908904,-21.7637529515,24-25,0.1,0.000451619038358,galaxies
45,1,8.22512474579,-21.7625442202,23-24,0.1,0.000310332339723,galaxies
47,1,8.18384842569,-21.7617428425,23-24,0.1,0.000337549165124,galaxies
49,1,8.23357365018,-21.7567323915,21-22,0.1,0.0278783738613,galaxies
50,1,8.20185011644,-21.7561486669,22-23,0.1,0.0131000978872,galaxies
52,1,8.22178852434,-21.7549524957,25-26,0.1,0.000103758531623,galaxies
54,1,8.24814293202,-21.7529160139,23-24,0.1,0.00204364513047,galaxies
55,1,8.29898135418,-20.9721456796,20-21,0.1,0.00107935338747,galaxies
59,1,8.26188755336,-21.7494858768,23-24,0.1,0.000239564251387,galaxies
61,1,8.2647280357,-21.7477439595,22-23,0.1,0.00032417246257,galaxies
62,1,8.1797302822,-21.7466532705,23-24,0.1,0.000433849665569,galaxies
65,1,8.12521249561,-21.7206723108,22-23,0.1,0.00383115257137,galaxies
66,1,8.22839917125,-21.7430288434,25-26,0.1,0.000237852567807,galaxies
67,1,8.28191008473,-21.7426805797,26-27,0.1,0.320810467005,galaxies
68,1,8.27438128772,-21.7422582897,22-23,0.1,0.000381581485271,galaxies
71,1,8.17580546293,-21.7407582613,23-24,0.1,0.000662360631395,galaxies
83,1,8.21428330025,-21.7230837213,23-24,0.1,0.000316195480991,galaxies
84,1,8.23198698895,-21.722710443,24-25,0.1,0.00778491189703,galaxies
86,1,8.08855545053,-21.695108438,24-25,0.1,0.000287262373604,galaxies
87,1,8.28241942277,-21.7027553177,24-25,0.1,0.00247299857438,galaxies
90,1,8.18169948483,-21.6926043516,22-23,0.1,0.000885031418875,galaxies
91,1,8.28018869729,-21.6909827754,24-25,0.1,0.000258723535808,galaxies
94,1,8.24735917863,-21.6832331819,24-25,0.1,0.000142156393849,galaxies
96,1,8.20921479571,-21.6805882028,25-26,0.1,0.000107225489046,galaxies
98,1,8.15231704161,-21.6771750459,25-26,0.1,0.00259932153858,galaxies
100,1,8.19005112076,-21.6760271111,24-25,0.1,0.00021110806847,galaxies
102,1,8.16306994135,-21.6745135962,22-23,0.1,0.000750740990043,galaxies
105,1,8.20197050267,-21.6694882696,23-24,0.1,0.000314112287015,galaxies
107,1,8.17268834665,-21.6691003211,18-19,0.1,0.998743057251,star
110,1,8.21029537955,-21.666934696,24-25,0.1,0.0065109776333,galaxies
111,1,8.2436310109,-21.6646854219,23-24,0.1,0.000313546042889,galaxies
112,1,8.22039063672,-21.6645597193,22-23,0.1,0.000337117729941,galaxies
118,1,8.25555660198,-21.6582307947,24-25,0.1,0.00026285124477,galaxies
121,1,8.20629000316,-21.6541776524,23-24,0.1,0.000382625788916,galaxies
122,1,8.16933472787,-21.6530033081,24-25,0.1,0.000119956515846,galaxies
124,1,8.21610025522,-21.6513896391,25-26,0.1,0.000111359004222,galaxies
128,1,8.22823579531,-21.6467682598,22-23,0.1,0.00102780782618,galaxies
134,1,8.2464029972,-21.642758949,23-24,0.1,0.00945398397744,galaxies
135,1,8.12187441846,-21.0894525684,25-26,0.1,0.0348327942193,galaxies
136,1,8.23070075024,-21.6416482346,25-26,0.1,0.00206730957143,galaxies
143,1,8.12968543751,-21.0616285659,23-24,0.1,0.000300043349853,galaxies
144,1,8.14661035412,-21.0612655756,22-23,0.1,0.000363594503142,galaxies
