,mag,pm,n_se,n_false,n_meas,n_true,f_pur,f_dr,f_com
0,20-21,0.1,3,11,14,25,0.21,0.56,0.12
1,20-21,0.3,7,5,12,23,0.58,0.52,0.3
2,20-21,1.0,13,3,16,20,0.81,0.8,0.65
3,20-21,3.0,10,3,13,19,0.77,0.68,0.53
4,20-21,10.0,5,0,5,16,1.0,0.31,0.31
5,21-22,0.1,10,23,33,25,0.3,1.32,0.4
6,21-22,0.3,23,11,34,33,0.68,1.03,0.7
7,21-22,1.0,19,2,21,22,0.9,0.95,0.86
8,21-22,3.0,19,0,19,18,1.0,1.06,1.06
9,21-22,10.0,17,0,17,19,1.0,0.89,0.89
10,22-23,0.1,4,39,43,20,0.09,2.15,0.2
11,22-23,0.3,28,23,51,37,0.55,1.38,0.76
12,22-23,1.0,19,4,23,21,0.83,1.1,0.9
13,22-23,3.0,18,0,18,21,1.0,0.86,0.86
14,22-23,10.0,11,0,11,21,1.0,0.52,0.52
15,23-24,0.1,4,72,76,19,0.05,4.0,0.21
16,23-24,0.3,20,62,82,26,0.24,3.15,0.77
17,23-24,1.0,20,8,28,25,0.71,1.12,0.8
18,23-24,3.0,20,1,21,23,0.95,0.91,0.87
19,23-24,10.0,13,0,13,20,1.0,0.65,0.65
20,24-25,0.1,5,63,68,23,0.07,2.96,0.22
21,24-25,0.3,12,84,96,20,0.12,4.8,0.6
22,24-25,1.0,19,10,29,20,0.66,1.45,0.95
23,24-25,3.0,16,0,16,18,1.0,0.89,0.89
24,24-25,10.0,9,0,9,25,1.0,0.36,0.36
25,25-26,0.1,4,16,20,35,0.2,0.57,0.11
26,25-26,0.3,11,60,71,27,0.15,2.63,0.41
27,25-26,1.0,14,9,23,19,0.61,1.21,0.74
28,25-26,3.0,15,1,16,32,0.94,0.5,0.47
29,25-26,10.0,9,0,9,18,1.0,0.5,0.5
30,26-27,0.1,0,0,0,0,0.0,0.0,0.0
31,26-27,0.3,0,0,0,0,0.0,0.0,0.0
32,26-27,1.0,0,0,0,0,0.0,0.0,0.0
33,26-27,3.0,0,0,0,0,0.0,0.0,0.0
34,26-27,10.0,0,0,0,0,0.0,0.0,0.0
