,mag,pm,n_se,n_false,n_meas,n_true,f_pur,f_dr,f_com
0,20-21,0.1,21,21,42,25,0.5,1.68,0.84
1,20-21,0.3,9,4,13,21,0.69,0.62,0.43
2,20-21,1.0,6,1,7,20,0.86,0.35,0.3
3,20-21,3.0,1,2,3,17,0.33,0.18,0.06
4,20-21,10.0,0,5,5,16,0.0,0.31,0.0
5,21-22,0.1,29,36,65,25,0.45,2.6,1.16
6,21-22,0.3,26,4,30,32,0.87,0.94,0.81
7,21-22,1.0,10,0,10,22,1.0,0.45,0.45
8,21-22,3.0,15,1,16,18,0.94,0.89,0.83
9,21-22,10.0,1,16,17,19,0.06,0.89,0.05
10,22-23,0.1,30,52,82,20,0.37,4.1,1.5
11,22-23,0.3,33,0,33,36,1.0,0.92,0.92
12,22-23,1.0,14,0,14,21,1.0,0.67,0.67
13,22-23,3.0,14,3,17,18,0.82,0.94,0.78
14,22-23,10.0,2,9,11,21,0.18,0.52,0.1
15,23-24,0.1,5,17,22,19,0.23,1.16,0.26
16,23-24,0.3,11,0,11,25,1.0,0.44,0.44
17,23-24,1.0,13,1,14,25,0.93,0.56,0.52
18,23-24,3.0,15,4,19,23,0.79,0.83,0.65
19,23-24,10.0,1,14,15,20,0.07,0.75,0.05
20,24-25,0.1,2,4,6,23,0.33,0.26,0.09
21,24-25,0.3,0,1,1,18,0.0,0.06,0.0
22,24-25,1.0,13,0,13,20,1.0,0.65,0.65
23,24-25,3.0,14,1,15,17,0.93,0.88,0.82
24,24-25,10.0,2,6,8,25,0.25,0.32,0.08
25,25-26,0.1,2,0,2,35,1.0,0.06,0.06
26,25-26,0.3,1,0,1,24,1.0,0.04,0.04
27,25-26,1.0,7,1,8,19,0.88,0.42,0.37
28,25-26,3.0,13,2,15,32,0.87,0.47,0.41
29,25-26,10.0,3,6,9,18,0.33,0.5,0.17
30,26-27,0.1,0,0,0,0,0.0,0.0,0.0
31,26-27,0.3,0,0,0,0,0.0,0.0,0.0
32,26-27,1.0,0,0,0,0,0.0,0.0,0.0
33,26-27,3.0,0,0,0,0,0.0,0.0,0.0
34,26-27,10.0,0,0,0,0,0.0,0.0,0.0
