,mag,pm,n_se,n_false,n_meas,n_true,f_pur,f_dr,f_com
0,20-21,0.1,10,57,67,25,0.15,2.68,0.4
1,20-21,0.3,12,31,43,23,0.28,1.87,0.52
2,20-21,1.0,14,7,21,20,0.67,1.05,0.7
3,20-21,3.0,10,4,14,19,0.71,0.74,0.53
4,20-21,10.0,5,1,6,16,0.83,0.38,0.31
5,21-22,0.1,21,166,187,25,0.11,7.48,0.84
6,21-22,0.3,29,53,82,33,0.35,2.48,0.88
7,21-22,1.0,19,5,24,22,0.79,1.09,0.86
8,21-22,3.0,21,0,21,18,1.0,1.17,1.17
9,21-22,10.0,17,0,17,19,1.0,0.89,0.89
10,22-23,0.1,16,325,341,20,0.05,17.05,0.8
11,22-23,0.3,33,156,189,37,0.17,5.11,0.89
12,22-23,1.0,20,15,35,21,0.57,1.67,0.95
13,22-23,3.0,18,0,18,21,1.0,0.86,0.86
14,22-23,10.0,13,0,13,21,1.0,0.62,0.62
15,23-24,0.1,11,650,661,19,0.02,34.79,0.58
16,23-24,0.3,27,340,367,26,0.07,14.12,1.04
17,23-24,1.0,23,32,55,25,0.42,2.2,0.92
18,23-24,3.0,20,1,21,23,0.95,0.91,0.87
19,23-24,10.0,14,0,14,20,1.0,0.7,0.7
20,24-25,0.1,17,635,652,23,0.03,28.35,0.74
21,24-25,0.3,24,618,642,20,0.04,32.1,1.2
22,24-25,1.0,21,34,55,20,0.38,2.75,1.05
23,24-25,3.0,16,2,18,18,0.89,1.0,0.89
24,24-25,10.0,10,0,10,25,1.0,0.4,0.4
25,25-26,0.1,12,262,274,35,0.04,7.83,0.34
26,25-26,0.3,19,550,569,27,0.03,21.07,0.7
27,25-26,1.0,15,35,50,19,0.3,2.63,0.79
28,25-26,3.0,19,2,21,32,0.9,0.66,0.59
29,25-26,10.0,9,0,9,18,1.0,0.5,0.5
30,26-27,0.1,0,0,0,0,0.0,0.0,0.0
31,26-27,0.3,0,0,0,0,0.0,0.0,0.0
32,26-27,1.0,0,0,0,0,0.0,0.0,0.0
33,26-27,3.0,0,0,0,0,0.0,0.0,0.0
34,26-27,10.0,0,0,0,0,0.0,0.0,0.0
