,SOURCE_NUMBER,CATALOG_NUMBER,EXTENSION,ASTR_INSTRUM,PHOT_INSTRUM,X_IMAGE,Y_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,ALPHA_J2000,DELTA_J2000,ERRA_WORLD,ERRB_WORLD,ERRTHETA_WORLD,EPOCH,MAG,MAGERR,FLAGS_EXTRACTION,FLAGS_SCAMP,FLAGS_IMA,PM,PMERR,PMALPHA,PMDELTA,PMALPHAERR,PMDELTAERR
4322,1519,5,1,1,1,3765.43381818,450.337392602,0.0087236110121,0.0087236110121,0.0,99.9248371789,0.117489553785,3.68619453184e-07,3.68619453184e-07,0.0,2021.48358185,-3.26963448524,0.00635541789234,0,64,0,3.11301473628,0.00944496471893,-2.529494524,1.81452977657,0.00667859846726,0.00667859846726
4323,1519,4,1,1,1,3275.41077911,2286.53556776,0.00878397189081,0.00878397189081,0.0,99.9245624382,0.118151023239,3.69742622297e-07,3.69742622297e-07,0.0,2021.4836772,-3.28321218491,0.00630899332464,0,0,0,3.11301473628,0.00944496471893,-2.529494524,1.81452977657,0.00667859846726,0.00667859846726
4324,1519,3,1,1,1,3272.33984176,3278.50468278,0.00890862010419,0.00890862010419,0.0,99.9246466673,0.117928492543,3.72034634211e-07,3.72034634211e-07,0.0,2021.48364541,-3.26229023933,0.00637606251985,0,0,0,3.11301473628,0.00944496471893,-2.529494524,1.81452977657,0.00667859846726,0.00667859846726
4787,1659,5,1,1,1,1107.31259477,992.673047042,0.0885984301567,0.0885984301567,0.0,99.9986757748,0.132554294917,2.47669049713e-06,2.47669049713e-06,0.0,2021.48358185,-2.62337756157,0.0188231002539,0,32,0,0.119344154425,0.0474426842742,0.118133626878,0.0169550254941,0.0335470438004,0.0335470438004
4788,1659,4,1,1,1,607.137296668,2804.81980035,0.0854499042034,0.0854499042034,0.0,99.9986805127,0.13254728719,2.38992515733e-06,2.38992515733e-06,0.0,2021.4836772,-2.52253007889,0.0195507593453,0,32,0,0.119344154425,0.0474426842742,0.118133626878,0.0169550254941,0.0335470438004,0.0335470438004
4789,1659,3,1,1,1,607.191902046,3804.86327741,0.0857788473368,0.0857788473368,0.0,99.9986794138,0.132549117734,2.39898668042e-06,2.39898668042e-06,0.0,2021.48364541,-2.53985285759,0.0193244609982,0,32,0,0.119344154425,0.0474426842742,0.118133626878,0.0169550254941,0.0335470438004,0.0335470438004
8960,2874,9,1,1,1,714.329103039,185.421617294,0.00612179702148,0.00612179702148,0.0,100.009590691,0.243805759533,3.25695907577e-07,3.25695907577e-07,0.0,2021.48358185,-4.01367616653,0.00441538635641,0,0,0,0.0818824013657,0.00437970130263,-0.0129270395264,0.0808555483818,0.00309691647999,0.00309691647999
8961,2874,8,1,1,1,229.303001862,2017.2599024,0.00619075587019,0.00619075587019,0.0,100.009175457,0.244345454659,3.267101647e-07,3.267101647e-07,0.0,2021.4836772,-4.01678848267,0.00441412487999,0,0,0,0.0818824013657,0.00437970130263,-0.0129270395264,0.0808555483818,0.00309691647999,0.00309691647999
8962,2874,7,1,1,1,224.385901235,3011.40419892,0.00616612751037,0.00616612751037,0.0,100.009311419,0.24418272299,3.26351027979e-07,3.26351027979e-07,0.0,2021.48364541,-4.01549434662,0.00441302265972,0,64,0,0.0818824013657,0.00437970130263,-0.0129270395264,0.0808555483818,0.00309691647999,0.00309691647999
8963,2874,6,1,1,1,219.323526631,4004.36503938,0.00621305499226,0.00621305499226,0.0,100.009452124,0.243985523175,3.27026100422e-07,3.27026100422e-07,0.0,2021.48361363,-3.99375987053,0.00445810565725,0,0,0,0.0818824013657,0.00437970130263,-0.0129270395264,0.0808555483818,0.00309691647999,0.00309691647999
